Date,kospi,kosdaq,usdkrw,us_tb_3m,call_r,PPI,CPI,CPI_ratio,IPI,EPI,TOTAL_foreign_own,KOSPI_foreign_own,KOSDAQ_foreign_own
2001-01-02,520.95,557.0,1278.0,5.87,5.26,76.37,64.6,0.0,76.45,125.93,22.6,30.4,2.8
2001-01-03,521.43,569.0,1270.5,5.69,5.26,76.37,64.6,0.0,76.45,125.93,22.6,30.4,2.8
2001-01-04,558.02,615.1,1263.3,5.37,5.28,76.37,64.6,0.0,76.45,125.93,23.0,30.6,3.0
2001-01-05,580.85,625.2,1262.5,5.12,5.31,76.37,64.6,0.0,76.45,125.93,23.3,30.8,3.1
2001-01-08,586.65,650.0,1263.3,5.19,5.3,76.37,64.6,0.0,76.45,125.93,23.4,30.9,3.2
2001-01-09,589.92,678.2,1252.3,5.24,5.28,76.37,64.6,0.0,76.45,125.93,23.3,30.9,3.3
2001-01-10,560.81,639.6,1269.37,5.29,5.31,76.37,64.6,0.0,76.45,125.93,23.3,31.1,3.2
2001-01-11,561.79,675.1,1278.2,5.31,5.3,76.37,64.6,0.0,76.45,125.93,23.2,31.0,3.3
2001-01-12,587.87,713.6,1281.5,5.33,5.14,76.37,64.6,0.0,76.45,125.93,23.3,31.1,3.5
2001-01-15,599.0,765.2,1286.0,5.33,5.28,76.37,64.6,0.0,76.45,125.93,24.6,32.9,3.8
2001-01-16,603.42,777.1,1282.8,5.38,5.29,76.37,64.6,0.0,76.45,125.93,24.8,33.2,3.8
2001-01-17,595.83,750.1,1278.0,5.36,5.3,76.37,64.6,0.0,76.45,125.93,25.0,33.4,3.7
2001-01-18,604.05,745.6,1285.0,5.28,5.33,76.37,64.6,0.0,76.45,125.93,25.2,33.6,3.7
2001-01-19,619.78,772.1,1273.5,5.24,5.19,76.37,64.6,0.0,76.45,125.93,25.4,33.8,3.9
2001-01-22,627.45,833.2,1274.1,5.23,5.09,76.37,64.6,0.0,76.45,125.93,25.2,33.6,4.1
